Company Name,Website,Email,Owner/Management,Phone,Location,Reviews Rate,Reviews Count
Rainier Roofing Company,https://www.rainierroofingcompany.com,andrewv@rainierroofingcompany.com,Jared Montoya,(206) 347-8191,Seattle,4.8,157
Ryan Tait Flat Roof and Home Repair LLC,https://www.facebook.com/RyanTaitFlatRoofingandHomeRepair,ryantait760@gmail.com,-,+1 425-599-8018,Edmonds,,0
SBL Seattle General Contractor,-,-,-,+1 206-800-0449,Seattle,,0
Evergreen NW Roofing,https://evergreennwroofing.com,-,Francisco,+1 206-739-4416,Seattle,,0
Gibson Fence and Deck,https://www.gibsonfenceanddeck.com/deck-and-fence-contractor-capitol-hill/?utm_source=google_my_business&utm_medium=local_listing&utm_campaign=capitol_hill_gmb, gibson@gibsonfenceanddeck.com,Damon Gibson,+1 206-387-1001,Seattle,5,37
Iconiq Construction,http://iconiqconstruction.com/, iconiqconstruction@gmail.com,-,+1 206-396-0752,Seattle,4.9,64
101 Construction LLC,-,-,Baba Madeline Todorovich,+1 206-999-4661,Seattle,3,4
Lynx Construction Solutions,-,-,-,+1 773-812-1501,- ,5,5
AAD Roofing of Seattle,-,-,-,+1 206-743-9795,Seattle,,0
Seattle Roofing & Construction,-,-,-,+1 833-423-2240,Seattle,,0
Intercrus Decks,https://intercrusdecks.com/, info@intercrus-service.com,-,+1 206-594-3404,Seattle,4.8,19
Build-Up Construction,https://build-up-construction.com/,info@build-up-construction.com,Dekel Arbel,+1 425-981-5058,Seattle,5,52
Intercrus Siding,https://intercrussiding.com/, info@intercrus-service.com,-,+1 206-984-2749,Seattle,5,3
Horizon renovation LLC,https://horizonrenovationwa.com/, horizonrenovationwa@gmail.com,-,+1 425-524-7440,Seattle,5,4
The Garage Door Company,-,-,- ,+1 206-735-4537,Seattle,5,2
"SLUE Attic Insulation & Roofing Services Seattle, WA",-,-,-,+1 206-593-2482,Seattle,3,4
"FRA Attic Insulation & Roofing Services Co, WA",-,-,-,+1 206-579-3334,Seattle,5,2
Roofing Repair Guy,https://roofingrepairguy.com/seattle-wa/,-,Ray R. Driscoll,+1 206-207-2039,Seattle,,0
"VSM Copper, LLC",-,vsmcopper@comcast.net,-,+1 206-935-7174,Seattle,5,1
SOCOTEC,https://www.socotec.us/, dataprotection@socotec.us,- ,+1 206-467-0054,Seattle,5,2
Seattle Roofing Helper,-,-,-,+1 206-360-0212,Seattle,4.4,13
Seattle Authentic Roofing & Siding,-,-,-,+1 253-765-5754,Seattle,5,5
